Población total
,

Consulta de: Población total con estimación   Por: Entidad y municipio   Según: Sexo
 , , Total, Hombre, Mujer
 , Total,"112,336,538","54,855,231","57,481,307"
 01, Aguascalientes,"1,184,996","576,638","608,358"
 02, Baja California,"3,155,070","1,591,610","1,563,460"
 03, Baja California Sur,"637,026","325,433","311,593"
 04, Campeche,"822,441","407,721","414,720"
 05, Coahuila de Zaragoza,"2,748,391","1,364,197","1,384,194"
 06, Colima,"650,555","322,790","327,765"
 07, Chiapas,"4,796,580","2,352,807","2,443,773"
 08, Chihuahua,"3,406,465","1,692,545","1,713,920"
 09, Distrito Federal,"8,851,080","4,233,783","4,617,297"
 10, Durango,"1,632,934","803,890","829,044"
 11, Guanajuato,"5,486,372","2,639,425","2,846,947"
 12, Guerrero,"3,388,768","1,645,561","1,743,207"
 13, Hidalgo,"2,665,018","1,285,222","1,379,796"
 14, Jalisco,"7,350,682","3,600,641","3,750,041"
 15, México,"15,175,862","7,396,986","7,778,876"
 16, Michoacán de Ocampo,"4,351,037","2,102,109","2,248,928"
 17, Morelos,"1,777,227","858,588","918,639"
 18, Nayarit,"1,084,979","541,007","543,972"
 19, Nuevo León,"4,653,458","2,320,185","2,333,273"
 20, Oaxaca,"3,801,962","1,819,008","1,982,954"
 21, Puebla,"5,779,829","2,769,855","3,009,974"
 22, Querétaro,"1,827,937","887,188","940,749"
 23, Quintana Roo,"1,325,578","673,220","652,358"
 24, San Luis Potosí,"2,585,518","1,260,366","1,325,152"
 25, Sinaloa,"2,767,761","1,376,201","1,391,560"
 26, Sonora,"2,662,480","1,339,612","1,322,868"
 27, Tabasco,"2,238,603","1,100,758","1,137,845"
 28, Tamaulipas,"3,268,554","1,616,201","1,652,353"
 29, Tlaxcala,"1,169,936","565,775","604,161"
 30, Veracruz de Ignacio de la Llave,"7,643,194","3,695,679","3,947,515"
 31, Yucatán,"1,955,577","963,333","992,244"
 32, Zacatecas,"1,490,668","726,897","763,771"


FUENTE: INEGI. Censo de Población y Vivienda 2010.
